,S,K,r,v,t,premium,optype
0,2011.48,1000.0,0,256.44,0.0009525304414003044,0.50338,C
1,2011.48,1000.0,0,256.44,0.0009525304414003044,0.0,P
2,2011.48,1400.0,0,256.75,0.0009525304414003044,0.304733,C
3,2011.48,1400.0,0,256.75,0.0009525304414003044,2e-06,P
4,2011.48,1600.0,0,248.22,0.0009525304414003044,0.20556,C
5,2011.48,1600.0,0,248.22,0.0009525304414003044,0.000184,P
6,2011.48,1800.0,0,130.87,0.0009525304414003044,0.106227,C
7,2011.48,1800.0,0,130.87,0.0009525304414003044,0.00018,P
8,2011.48,1900.0,0,85.51,0.0009525304414003044,0.05682,C
9,2011.48,1900.0,0,85.51,0.0009525304414003044,0.000437,P
10,2011.48,2000.0,0,51.0,0.0009524987316083207,0.01144,C
11,2011.48,2000.0,0,51.0,0.0009524987316083207,0.00472,P
12,2011.48,2100.0,0,66.35,0.0009524987316083207,0.000479,C
13,2011.48,2100.0,0,66.35,0.0009524987316083207,0.043424,P
14,2011.48,2200.0,0,97.66,0.0009524987316083207,0.0001,C
15,2011.48,2200.0,0,97.66,0.0009524987316083207,0.092708,P
16,2011.48,2300.0,0,139.58,0.0009524987316083207,0.0001,C
17,2011.48,2300.0,0,139.6,0.0009524987316083207,0.142446,P
18,2011.48,2400.0,0,178.37,0.0009524987316083207,0.0001,C
19,2011.48,2400.0,0,178.37,0.0009524987316083207,0.192113,P
20,2011.48,2500.0,0,214.64,0.0009524987316083207,0.0001,C
21,2011.48,2500.0,0,214.64,0.0009524987316083207,0.24178,P
22,2011.48,2600.0,0,248.82,0.0009524987316083207,0.0001,C
23,2011.48,2600.0,0,248.82,0.0009524670218163369,0.291448,P
24,2011.48,2700.0,0,281.2,0.0009524670218163369,0.0001,C
25,2011.48,2700.0,0,281.2,0.0009524670218163369,0.341115,P
26,2011.48,2800.0,0,311.99,0.0009524670218163369,0.0001,C
27,2011.48,2800.0,0,311.99,0.0009524670218163369,0.390782,P
28,2011.48,2900.0,0,341.35,0.0009524670218163369,0.0001,C
29,2011.48,2900.0,0,341.35,0.0009524670218163369,0.440449,P
30,2011.48,3000.0,0,341.92,0.0009524670218163369,4.1e-05,C
31,2011.48,3000.0,0,341.92,0.0009524670218163369,0.490124,P
32,2011.48,3100.0,0,347.54,0.0009524670218163369,2e-05,C
33,2011.48,3100.0,0,347.54,0.0009524670218163369,0.539773,P
34,2011.48,3200.0,0,349.75,0.0009524670218163369,9e-06,C
35,2011.48,3200.0,0,349.75,0.0009524353120243531,0.589431,P
36,2011.48,3300.0,0,349.78,0.0009524353120243531,3e-06,C
37,2011.48,3300.0,0,349.78,0.0009524353120243531,0.639095,P
38,2011.48,3400.0,0,350.0,0.0009524353120243531,1e-06,C
